Species;Nest_builder;Nest_site;Nest_structure;Clutch_size_mean;Incubating_sex;Length_breeding;Latitude_mean
Turdus_pilaris;female;tree_bush;cup;5.5;female;6;58
Turdus_torquatus;female;ground;cup;4;female;4;54
Turdus_viscivorus;female;tree_bush;cup;4;female;6;50
Turnix_sylvaticus;both;ground;platform;4;male;5;35.5
Tyto_alba;neither;tree_hole_cavity;no nest;5.5;both;11;36.5
Upupa_epops;neither;tree_hole_cavity;no nest;7.5;female;6;40.5
Uria_aalge;neither;ledge;no nest;1;both;5;58.5
Uria_lomvia;neither;ledge;no nest;1;both;4;72.5
Vanellus_spinosus;male;ground;platform;4;both;6;33
Vanellus_vanellus;both;ground;platform;4;both;7;52.5
